Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
83,Dynamic Two Tits For Tat,2.5970886075949378,0.8338354430379746,6.0,1.0,0.768126582278481,0.06570886075949367,0.03074050632911391,0.13542405063291144,0.9562454210642415,0.4968758085686917,0.6439501819045504,0.3893115317647857
84,Retaliate 2: 0.08,2.594240506329114,0.6257405063291139,78.0,1.0,0.6168523206751056,0.008888185654008424,0.09318354430379744,0.28107594936708863,1.0,0,0.07223140589566332,0
85,Retaliate: 0.1,2.5941772151898728,0.6254303797468355,79.0,1.0,0.6145991561181435,0.010831223628691955,0.09402953586497889,0.2805400843881856,1.0,0,0.09365960437802369,0
86,Adaptive Pavlov 2011,2.5939873417721517,0.7319978902953587,55.0,1.0,0.7008734177215191,0.031124472573839622,0.055831223628692014,0.2121708860759493,0.9859804379061885,0.33443149480821754,0.5918305181102335,0.030324468655170154
87,ShortMem,2.5934810126582284,0.8048122362869198,11.0,1.0,0.7516202531645569,0.053191983122362854,0.036023206751054845,0.15916455696202525,0.9997263946685493,0.7133747783894205,0.7764038253136426,0
88,Retaliate 3: 0.05,2.5917405063291135,0.6042721518987342,78.0,1.0,0.5975991561181435,0.006672995780590706,0.10097257383966245,0.29475527426160336,1.0,0,0.04387928721741415,0
89,Forgetful Grudger,2.591466244725739,0.635168776371308,78.5,1.0,0.6246075949367088,0.010561181434599137,0.0884620253164557,0.2763691983122364,1.0,0,0.1060314625333238,0
90,Meta Majority Finite Memory: 79 players,2.59071729957806,0.7596497890295358,31.0,1.0,0.7071075949367086,0.052542194092827066,0.05681012658227855,0.18354008438818578,0.9999879013719845,0.1675724585978871,0.8440851440416752,0.1570393707223719
91,"First by Tideman and Chieruzzi: (D, D)",2.589535864978901,0.6919852320675105,200.5,1.0,0.6677236286919832,0.024261603375527394,0.0693417721518988,0.23867299578059065,0.9961532597584418,0.14782131307377372,0.4387638747785475,0
92,Adaptive Pavlov 2006,2.5860443037974683,0.7183755274261603,57.0,1.0,0.6896603375527426,0.028715189873417684,0.0585,0.22312447257383974,0.9794209621391365,0.3118820307126142,0.6032415336723033,0.1047527259398063
93,Second by Champion,2.5838080168776383,0.8750042194092827,0.0,1.0,0.7952658227848101,0.07973839662447259,0.01837552742616032,0.10662025316455696,1.0,0.7204064905817342,1.0,0.22289834994767724
94,Second by Getzler,2.5826582278481007,0.7728438818565401,24.5,1.0,0.7301582278481012,0.042685654008438816,0.040556962025316466,0.18659915611814348,0.9623557917248711,0.36481223930801265,0.7051892523734488,0.11218207396006992
95,Math Constant Hunter,2.5815611814345987,0.7563291139240507,45.0,1.0,0.6363122362869199,0.12001687763713079,0.10739662447257385,0.13627426160337552,0.8975199310784759,0.8315315908247898,0.13502056145884866,0.22794405602344525
96,Soft Go By Majority: 10,2.5802426160337557,0.8227721518987342,15.5,1.0,0.7635400843881857,0.05923206751054856,0.027525316455696187,0.14970253164556965,1.0,0.772832356136195,0.6284221095000371,0
97,Soft Go By Majority: 5,2.579841772151899,0.7816561181434599,23.0,1.0,0.7209008438818566,0.06075527426160342,0.049588607594936704,0.16875527426160333,1.0,0.7171817064924814,0.5601714131956678,0
98,Soft Go By Majority: 20,2.578871308016878,0.8220126582278481,16.5,1.0,0.7609514767932489,0.061061181434599175,0.029310126582278474,0.14867721518987348,1.0,0.7847284711016975,0.6494430615149515,0
99,First by Grofman,2.577953586497891,0.8906286919831223,17.0,1.0,0.7736793248945149,0.1169493670886076,0.03745991561181433,0.07191139240506328,1.0,0.2897074397854516,0.30618617586585406,1.0
100,VeryBad,2.5774894514767928,0.8177067510548524,13.5,1.0,0.7604092827004221,0.057297468354430336,0.027797468354430355,0.15449578059071722,0.9999228549962063,0.7797268649115981,0.6650252549619383,0
101,"Stalker: (D,)",2.576213080168775,0.8313818565400843,140.5,1.0,0.7666329113924053,0.06474894514767926,0.027270042194092736,0.1413481012658226,0.9803096829370492,0.6535549374390369,0.7817332872496198,0.17940831866214024
102,Second by Black,2.575938818565401,0.8534135021097047,0.0,1.0,0.7829008438818565,0.07051265822784807,0.020476793248945135,0.12610970464135016,0.9752851916373978,0.7065439776558836,0.7129359517640319,0.2776885321256564
103,Soft Go By Majority: 40,2.573628691983122,0.8209135021097046,16.0,1.0,0.756698312236287,0.0642151898734177,0.030761603375527396,0.14832489451476782,1.0,0.7874672601330458,0.6393881631996834,0
104,Punisher,2.569852320675105,0.6497995780590717,76.5,1.0,0.6338713080168776,0.015928270042194072,0.07849578059071734,0.271704641350211,1.0,0,0.22913717476885326,0
105,Slow Tit For Two Tats 2,2.568554852320676,0.8058966244725738,14.0,1.0,0.7507320675105487,0.0551645569620253,0.030358649789029534,0.16374472573839663,1.0,0.756997962607907,0.370397631528891,0
106,Meta Majority Memory One: 36 players,2.5681434599156123,0.7561582278481013,48.5,1.0,0.7078776371308017,0.04828059071729959,0.049436708860759494,0.19440506329113924,0.9953019347229903,0.08432193115377541,0.8827438137293728,0.03890706996968945
107,Hard Tit For 2 Tats,2.5592299578059077,0.827632911392405,0.0,1.0,0.7626793248945147,0.06495358649789029,0.02444303797468354,0.14792405063291142,1.0,0.6855508506084889,0.361683230989229,0.2706804893933681
108,"Grumpy: Nice, 10, -10",2.5585126582278495,0.8607784810126582,11.0,1.0,0.7710991561181435,0.08967932489451472,0.02692194092827002,0.11229957805907168,1.0,0.9758231984487178,0.03933255256286712,0
109,"N Tit(s) For M Tat(s): 3, 2",2.5559810126582283,0.7939767932489451,25.5,1.0,0.7385506329113924,0.055426160337552745,0.03302953586497889,0.17299367088607592,1.0,0.7279910926905963,0.27025589267567135,0.1828298407634245
110,Soft Go By Majority,2.5554430379746833,0.8187827004219409,15.5,1.0,0.7375759493670885,0.08120675105485234,0.040364978902953604,0.14085232067510556,1.0,0.8692673160013956,0.6963878795588724,0
111,Delayed AON1,2.5543037974683536,0.7690822784810126,27.5,1.0,0.6387130801687764,0.1303691983122363,0.10228481012658226,0.128632911392405,0.9977665485733781,0.13572283720137246,0,1.0
112,Second by Appold,2.553270042194093,0.778204641350211,23.5,1.0,0.7130443037974682,0.06516033755274264,0.048033755274261625,0.17376160337552743,0.9201934509950536,0.5146180089967302,0.706602972065985,0.30880028253160613
113,Hard Tit For Tat,2.55003164556962,0.6421097046413502,79.0,1.0,0.6278059071729958,0.014303797468354399,0.07668776371308024,0.28120253164556963,1.0,0,0.24796428420089636,0
114,Nice Average Copier,2.549926160337553,0.7774810126582279,28.0,1.0,0.7052236286919831,0.07225738396624476,0.054618143459915634,0.16790084388185655,0.8851709715621703,0.5099219830299846,0.580513050211611,0.40899397205317706
115,Worse and Worse 3,2.5470569620253167,0.7753459915611814,28.0,1.0,0.7021940928270043,0.0731518987341772,0.055101265822784795,0.1695527426160337,0.8808609711691865,0.5127215971493903,0.575858633026962,0.411658733040229
116,Win-Stay Lose-Shift,2.542383966244725,0.7756983122362869,23.0,1.0,0.6457616033755275,0.12993670886075953,0.09557805907172998,0.12872362869198306,1.0,0,0,1.0
117,Second by Harrington,2.5414029535864984,0.6852004219409282,76.0,1.0,0.5918860759493673,0.09331434599156115,0.11232489451476789,0.20247468354430367,0.9118787878201436,0.4583743721435005,0.9723721938875017,0.2923754411489715
118,Appeaser,2.5405063291139234,0.7761708860759494,23.0,1.0,0.6460168776371306,0.13015400843881866,0.09485021097046419,0.12897890295358652,1.0,0,0,1.0
119,Tit For 2 Tats,2.5396940928270038,0.8504198312236287,0.0,1.0,0.7732194092827005,0.07720042194092826,0.017799578059071716,0.13178059071729953,1.0,0.749538023513542,1.0,0
120,Thumper,2.5321308016877637,0.6946012658227848,57.0,1.0,0.6616308016877637,0.03297046413502107,0.06045147679324897,0.24494725738396628,1.0,0,0.5857074328972462,0
121,Tricky Level Punisher,2.529905063291139,0.8080042194092827,28.0,1.0,0.705276371308017,0.10272784810126581,0.05525738396624471,0.13673839662447257,1.0,0.8980057724237903,0.03506665021155002,0.016128711186425945
